country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","20-01-2026 20:00:00",28.6811736,77.3025234,NH3,6,15,12
India,Delhi,Delhi,"ITO, Delhi - CPCB","20-01-2026 20:00:00",28.628624,77.241060,PM2.5,211,487,392
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","20-01-2026 20:00:00",28.580280,77.233829,PM10,115,448,309
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-01-2026 20:00:00",30.735567,76.775714,CO,27,126,54
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","20-01-2026 20:00:00",30.751462,76.762879,PM2.5,74,275,171
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","20-01-2026 20:00:00",30.719859,76.738637,OZONE,1,65,65
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-01-2026 20:00:00",28.776200,77.051074,NH3,11,13,11
India,Delhi,Delhi,"Bawana, Delhi - DPCC","20-01-2026 20:00:00",28.776200,77.051074,CO,44,108,62
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","20-01-2026 20:00:00",28.5512005,77.2735737,CO,24,139,49
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","20-01-2026 20:00:00",23.243639,72.68994,SO2,7,13,9
India,Gujarat,Surat,"Science Center, Surat - SMC","20-01-2026 20:00:00",21.170046,72.795405,NO2,16,16,16
India,Gujarat,Surat,"Science Center, Surat - SMC","20-01-2026 20:00:00",21.170046,72.795405,CO,38,42,38
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","20-01-2026 20:00:00",20.362421,72.918013,NO2,1,9,4
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","20-01-2026 20:00:00",20.362421,72.918013,OZONE,4,24,14
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","20-01-2026 20:00:00",22.969611,72.643500,PM2.5,62,378,201
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","20-01-2026 20:00:00",22.969611,72.643500,PM10,72,330,164
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","20-01-2026 20:00:00",22.969611,72.643500,CO,12,13,13
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","20-01-2026 20:00:00",30.379589,76.778328,NO2,21,25,22
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","20-01-2026 20:00:00",28.710508,77.249485,SO2,8,21,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","20-01-2026 20:00:00",28.710508,77.249485,CO,40,136,71
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","20-01-2026 20:00:00",28.710508,77.249485,OZONE,6,146,104
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","20-01-2026 20:00:00",28.531346,77.190156,NH3,6,9,7
