country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","28-01-2026 21:00:00",16.5150833,80.5181667,SO2,14,23,18
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","28-01-2026 21:00:00",14.675886,77.593027,PM10,77,86,81
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","28-01-2026 21:00:00",14.675886,77.593027,NO2,13,23,15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","28-01-2026 21:00:00",14.675886,77.593027,SO2,8,17,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","28-01-2026 21:00:00",14.675886,77.593027,CO,18,40,25
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","28-01-2026 21:00:00",25.560083,87.553265,SO2,13,20,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","28-01-2026 21:00:00",25.560083,87.553265,CO,51,82,67
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","28-01-2026 21:00:00",26.0881305,87.93840336,NO2,9,14,11
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","28-01-2026 21:00:00",16.536107,80.594233,NO2,16,25,19
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","28-01-2026 21:00:00",16.536107,80.594233,SO2,6,18,12
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","28-01-2026 21:00:00",16.536107,80.594233,OZONE,6,51,42
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","28-01-2026 21:00:00",26.63086,84.90051,PM2.5,52,300,142
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","28-01-2026 21:00:00",26.63086,84.90051,OZONE,2,8,5
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","28-01-2026 21:00:00",22.348441,82.549611,PM10,63,421,136
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","28-01-2026 21:00:00",22.348441,82.549611,CO,25,98,31
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-01-2026 21:00:00",22.1910172,83.5197009,SO2,15,52,25
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-01-2026 21:00:00",22.1910172,83.5197009,CO,30,63,41
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-01-2026 21:00:00",21.258815,81.578979,PM2.5,31,133,88
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-01-2026 21:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-01-2026 21:00:00",21.219665,81.630094,CO,48,104,66
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-01-2026 21:00:00",21.237755,81.705301,NH3,2,2,2
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-01-2026 21:00:00",25.610369,85.132568,SO2,34,36,35
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-01-2026 21:00:00",25.610369,85.132568,CO,75,78,76
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","28-01-2026 21:00:00",25.610369,85.132568,OZONE,28,30,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","28-01-2026 21:00:00",25.619651,85.147382,NO2,5,8,7
India,Bihar,Patna,"Muradpur, Patna - BSPCB","28-01-2026 21:00:00",25.619651,85.147382,SO2,7,10,9
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-01-2026 21:00:00",25.599486,85.113666,SO2,6,7,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB","28-01-2026 21:00:00",25.596727,85.085624,PM2.5,78,150,109
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","28-01-2026 21:00:00",25.03280,85.41948,OZONE,29,34,31
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","28-01-2026 21:00:00",30.735567,76.775714,NO2,21,101,46
